Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172107	0.166368	0.00573247	6.4593e-06	0.76204	0.736629	0.0253816	2.85998e-05	6.44216e-06	2.85239e-05	
2	0.0883946	0.0837487	0.00464589	0	0.391384	0.370813	0.0205706	0	0	0	
3	0.0930234	0.0820453	0.010977	1.04213e-06	0.411879	0.363271	0.0486028	4.61424e-06	3.75979e-06	1.66472e-05	
4	0.0575963	0.0575964	0	0	0.255019	0.255019	0	0	0	0	
5	0.115742	0.106578	0.00916279	1.66667e-06	0.512472	0.471894	0.04057	7.37951e-06	4.27188e-06	1.89145e-05	
6	0.0915001	0.0897695	0.00172541	5.22421e-06	0.405134	0.397471	0.00763959	2.31312e-05	5.20738e-06	2.30566e-05	
7	0.090193	0.0864609	0.00373173	3.40833e-07	0.399347	0.382822	0.0165229	1.5091e-06	3.24099e-07	1.43501e-06	
8	0.126222	0.103325	0.0228965	0	0.558873	0.457494	0.101378	0	0	0	
9	0.0905469	0.0868915	0.0036554	0	0.400914	0.384729	0.016185	0	0	0	
10	0.0604783	0.0595272	0.000951141	0	0.267779	0.263568	0.00421136	0	0	0	
11	0.0849487	0.0794546	0.00548464	9.50495e-06	0.376127	0.3518	0.0242843	4.2085e-05	9.48795e-06	4.20097e-05	
12	0.0998076	0.0948877	0.00491354	6.3668e-06	0.441917	0.420133	0.0217556	2.81902e-05	6.35005e-06	2.8116e-05	
13	0.103525	0.103525	0	0	0.458377	0.458377	0	0	0	0	
14	0.0838475	0.0838437	3.85659e-06	0	0.371251	0.371234	1.70758e-05	0	0	0	
15	0.0976624	0.0932106	0.00444338	8.47621e-06	0.432419	0.412708	0.0196739	3.753e-05	8.45947e-06	3.74559e-05	
16	0.0736721	0.0736721	0	0	0.326197	0.326197	0	0	0	0	
17	0.0871224	0.0849411	0.00218127	0	0.385751	0.376093	0.00965802	0	0	0	
18	0.0737723	0.0725367	0.00123271	2.90282e-06	0.326641	0.32117	0.00545806	1.28528e-05	2.88597e-06	1.27782e-05	
19	0.0889228	0.0847533	0.00416954	0	0.393723	0.375261	0.0184614	0	0	0	
20	0.0594377	0.0594377	0	0	0.263171	0.263171	0	0	0	0	
21	0.085897	0.0821878	0.0036899	1.937e-05	0.380325	0.363902	0.0163377	8.57644e-05	2.28137e-05	0.000101012	
22	0.0899334	0.0880395	0.00189338	5.31762e-07	0.398197	0.389811	0.00838332	2.35448e-06	5.14931e-07	2.27995e-06	
23	0.0985128	0.0954723	0.00303074	9.76376e-06	0.436184	0.422722	0.0134192	4.32309e-05	1.12226e-05	4.96904e-05	
24	0.0673102	0.0654406	0.00186958	0	0.298028	0.289751	0.00827795	0	0	0	
25	0.122581	0.116153	0.00636529	6.23666e-05	0.542751	0.514291	0.0281835	0.00027614	6.23497e-05	0.000276065	
26	0.0861924	0.0847361	0.00145623	0	0.381633	0.375185	0.00644775	0	0	0	
27	0.0823256	0.0766451	0.00565921	2.12685e-05	0.364512	0.339361	0.0250572	9.41707e-05	2.8167e-05	0.000124715	
28	0.0634909	0.0624488	0.00104214	0	0.281118	0.276504	0.00461428	0	0	0	
29	0.107863	0.10182	0.00604275	0	0.477585	0.450829	0.0267554	0	0	0	
30	0.173803	0.149647	0.0239926	0.000163577	0.769548	0.662592	0.106232	0.000724271	0.0002558	0.0011326	
31	0.145067	0.139163	0.0059023	1.33893e-06	0.642313	0.616173	0.0261335	5.92841e-06	1.32222e-06	5.8544e-06	
32	0.143818	0.139629	0.00418849	0	0.636782	0.618236	0.0185453	0	0	0	
33	0.080421	0.0770625	0.00335856	0	0.356079	0.341209	0.0148706	0	0	0	
34	0.10826	0.0976811	0.0105602	1.92936e-05	0.479344	0.432502	0.0467575	8.54265e-05	2.23088e-05	9.87765e-05	
35	0.0742073	0.0612953	0.0126501	0.000261832	0.328567	0.271396	0.0560111	0.00115931	0.000264473	0.001171	
36	0.0847976	0.0816008	0.00319681	0	0.375458	0.361303	0.0141545	0	0	0	
37	0.175213	0.0955009	0.0788803	0.000832248	0.775791	0.422848	0.349258	0.00368494	0.00607315	0.02689	
38	0.0800125	0.0788431	0.00116945	0	0.354271	0.349093	0.00517798	0	0	0	
39	0.090682	0.0843584	0.00632306	6.38458e-07	0.401512	0.373513	0.0279965	2.8269e-06	6.6089e-07	2.92622e-06	
40	0.10414	0.101502	0.00263221	5.25693e-06	0.461101	0.449424	0.0116546	2.32761e-05	5.32352e-06	2.35709e-05	
41	0.10126	0.0964504	0.00478731	2.24205e-05	0.448348	0.427053	0.0211967	9.92711e-05	2.24037e-05	9.9197e-05	
42	0.0765165	0.0743397	0.00217675	0	0.338791	0.329153	0.00963801	0	0	0	
43	0.0567131	0.0556328	0.00108034	0	0.251108	0.246325	0.00478345	0	0	0	
44	0.065249	0.0649531	0.000295904	0	0.288902	0.287592	0.00131017	0	0	0	
45	0.0572151	0.0524235	0.00479161	0	0.253331	0.232115	0.0212158	0	0	0	
46	0.0925821	0.0855883	0.00699384	0	0.409925	0.378958	0.0309666	0	0	0	
47	0.136706	0.135581	0.00112485	0	0.605292	0.600312	0.00498049	0	0	0	
48	0.101828	0.0854918	0.0163364	0	0.450864	0.378531	0.0723328	0	0	0	
49	0.166126	0.15923	0.00688984	6.01065e-06	0.735557	0.705025	0.030506	2.66133e-05	1.05252e-05	4.66024e-05	
50	0.0998797	0.0957885	0.00408938	1.84138e-06	0.442236	0.424122	0.0181065	8.1531e-06	1.82601e-06	8.08505e-06	
51	0.0856016	0.0851326	0.000469065	0	0.379017	0.376941	0.00207687	0	0	0	
52	0.0786937	0.0766544	0.00203923	0	0.348431	0.339402	0.0090291	0	0	0	
53	0.0980108	0.0954881	0.0025138	8.91141e-06	0.433962	0.422792	0.0111303	3.9457e-05	9.32646e-06	4.12947e-05	
54	0.0947516	0.091256	0.00348781	7.78278e-06	0.419531	0.404053	0.0154429	3.44597e-05	8.65013e-06	3.83001e-05	
55	0.0987575	0.0932767	0.0054744	6.42502e-06	0.437268	0.413	0.024239	2.8448e-05	8.42532e-06	3.73047e-05	
56	0.11842	0.112672	0.00574663	8.90904e-07	0.524327	0.498879	0.0254443	3.94465e-06	2.30907e-06	1.02238e-05	
57	0.101599	0.101342	0.000256545	1.66484e-07	0.449849	0.448712	0.0011359	7.3714e-07	1.51314e-07	6.69973e-07	
58	0.124803	0.0918637	0.0328614	7.87277e-05	0.552593	0.406744	0.1455	0.000348582	0.000150588	0.000666757	
