Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.171953	0.165872	0.00608138	0	0.763637	0.736629	0.0270071	0	0	0	
2	0.0883243	0.0834987	0.00482557	0	0.392244	0.370813	0.0214301	0	0	0	
3	0.0934377	0.0818004	0.0116373	0	0.414952	0.363271	0.0516808	0	0	0	
4	0.0574244	0.0574244	0	0	0.255019	0.255019	0	0	0	0	
5	0.116471	0.106259	0.010203	8.80598e-06	0.517245	0.471894	0.0453113	3.91069e-05	1.06127e-05	4.71307e-05	
6	0.0914626	0.0895015	0.00195731	3.86062e-06	0.406181	0.397471	0.00869233	1.71448e-05	3.85468e-06	1.71184e-05	
7	0.0872604	0.0862028	0.00105758	0	0.387519	0.382822	0.00469669	0	0	0	
8	0.122796	0.103017	0.0197792	0	0.545333	0.457494	0.0878387	0	0	0	
9	0.0905318	0.0866321	0.00389971	0	0.402047	0.384729	0.0173184	0	0	0	
10	0.0600233	0.0593494	0.000673841	0	0.26656	0.263568	0.00299249	0	0	0	
11	0.0843289	0.0792173	0.00511157	0	0.3745	0.3518	0.0227002	0	0	0	
12	0.0982845	0.0946044	0.00367207	8.11131e-06	0.436477	0.420133	0.0163074	3.60219e-05	8.18659e-06	3.63562e-05	
13	0.103215	0.103215	0	0	0.458377	0.458377	0	0	0	0	
14	0.0835972	0.0835934	3.84061e-06	0	0.371251	0.371234	1.70559e-05	0	0	0	
15	0.0948421	0.0929323	0.00190984	0	0.421189	0.412708	0.00848154	0	0	0	
16	0.0734521	0.0734521	0	0	0.326197	0.326197	0	0	0	0	
17	0.0879049	0.0846875	0.00321534	2.00578e-06	0.390381	0.376093	0.0142791	8.90758e-06	1.9999e-06	8.88147e-06	
18	0.0726287	0.0723201	0.000308588	0	0.32254	0.32117	0.00137042	0	0	0	
19	0.087981	0.0845002	0.00348077	0	0.390719	0.375261	0.0154579	0	0	0	
20	0.0593318	0.0592602	7.1602e-05	0	0.263489	0.263171	0.000317981	0	0	0	
21	0.0838149	0.0819424	0.00187248	0	0.372217	0.363902	0.00831559	0	0	0	
22	0.0891162	0.0877766	0.00133799	1.60707e-06	0.39576	0.389811	0.00594196	7.13692e-06	2.87327e-06	1.276e-05	
23	0.097362	0.0951872	0.00217144	3.34498e-06	0.43238	0.422722	0.00964328	1.48549e-05	3.33911e-06	1.48288e-05	
24	0.0663329	0.0652452	0.00108769	0	0.294581	0.289751	0.00483042	0	0	0	
25	0.125826	0.115806	0.00985081	0.000169361	0.558791	0.514291	0.043747	0.000752124	0.000169811	0.000754124	
26	0.0853318	0.0844832	0.000847599	1.05628e-06	0.378954	0.375185	0.00376414	4.69091e-06	1.05043e-06	4.66491e-06	
27	0.0849759	0.0764163	0.00837709	0.000182471	0.377373	0.339361	0.0372022	0.000810347	0.000182491	0.000810434	
28	0.0643874	0.0622623	0.00212508	0	0.285941	0.276504	0.00943742	0	0	0	
29	0.107581	0.101516	0.00606414	5.80427e-07	0.477763	0.450829	0.0269305	2.57765e-06	5.74421e-07	2.55097e-06	
30	0.170487	0.1492	0.0211956	9.15688e-05	0.757127	0.662592	0.0941287	0.000406652	9.67114e-05	0.00042949	
31	0.144484	0.138748	0.00573474	1.53567e-06	0.641648	0.616173	0.0254677	6.81987e-06	1.52972e-06	6.79342e-06	
32	0.145706	0.139212	0.00649428	5.8953e-08	0.647077	0.618236	0.0288408	2.61807e-07	6.93986e-07	3.08196e-06	
33	0.0789383	0.0768324	0.0021059	0	0.350561	0.341209	0.0093522	0	0	0	
34	0.104166	0.0973895	0.00677664	0	0.462596	0.432502	0.0300947	0	0	0	
35	0.0754942	0.0611123	0.0143504	3.14835e-05	0.335266	0.271396	0.0637296	0.000139816	4.42932e-05	0.000196704	
36	0.0833895	0.0813572	0.00203226	0	0.370328	0.361303	0.00902517	0	0	0	
37	0.168198	0.0952158	0.070145	0.00283774	0.746962	0.422848	0.31151	0.0126022	0.00496737	0.0220598	
