Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172615	0.165217	0.00739272	5.37194e-06	0.769614	0.736629	0.0329607	2.3951e-05	5.33951e-06	2.38064e-05	
2	0.0917287	0.0831692	0.00854818	1.12998e-05	0.408976	0.370813	0.0381124	5.03809e-05	1.12674e-05	5.02364e-05	
3	0.0961073	0.0814776	0.0146061	2.35753e-05	0.428498	0.363271	0.065122	0.000105111	5.0869e-05	0.000226801	
4	0.0571978	0.0571978	0	0	0.255019	0.255019	0	0	0	0	
5	0.11224	0.10584	0.00640008	1.6797e-07	0.50043	0.471894	0.028535	7.48902e-07	2.79404e-07	1.24573e-06	
6	0.0907877	0.0891483	0.00163863	7.9862e-07	0.404781	0.397471	0.00730592	3.56068e-06	7.66123e-07	3.41579e-06	
7	0.0864075	0.0858627	0.00054406	8.28876e-07	0.385251	0.382822	0.00242571	3.69558e-06	7.96386e-07	3.55072e-06	
8	0.122242	0.10261	0.0195669	6.47894e-05	0.545023	0.457494	0.0872401	0.000288866	6.47559e-05	0.000288717	
9	0.088216	0.0862902	0.00192092	4.91083e-06	0.393315	0.384729	0.00856455	2.18951e-05	4.87836e-06	2.17504e-05	
10	0.0597686	0.0591152	0.000653361	0	0.266481	0.263568	0.00291303	0	0	0	
11	0.0858233	0.0789048	0.00691852	0	0.382647	0.3518	0.0308465	0	0	0	
12	0.0956636	0.0942311	0.00142971	2.86173e-06	0.42652	0.420133	0.00637446	1.27591e-05	2.86609e-06	1.27786e-05	
13	0.102808	0.102808	0	0	0.458377	0.458377	0	0	0	0	
14	0.0835207	0.0832635	0.00025715	0	0.37238	0.371234	0.00114651	0	0	0	
15	0.0942413	0.0925656	0.00167537	3.44282e-07	0.420179	0.412708	0.00746973	1.53499e-06	3.11781e-07	1.39009e-06	
16	0.0731623	0.0731623	0	0	0.326197	0.326197	0	0	0	0	
17	0.0875635	0.0843534	0.00320964	5.32872e-07	0.390406	0.376093	0.0143103	2.37583e-06	3.00225e-06	1.33857e-05	
18	0.0724646	0.0720348	0.000429806	0	0.323086	0.32117	0.00191631	0	0	0	
19	0.0876797	0.0841668	0.00351123	1.69506e-06	0.390924	0.375261	0.0156549	7.55751e-06	1.9704e-06	8.78513e-06	
20	0.0591703	0.0590264	0.000143948	0	0.263813	0.263171	0.0006418	0	0	0	
21	0.0849246	0.081619	0.00330002	5.60061e-06	0.37864	0.363902	0.0147133	2.49705e-05	5.57972e-06	2.48774e-05	
22	0.0894724	0.0874303	0.00204071	1.44523e-06	0.398916	0.389811	0.00909863	6.44362e-06	1.41268e-06	6.29851e-06	
23	0.098131	0.0948116	0.00331362	5.79051e-06	0.437521	0.422722	0.0147739	2.58172e-05	6.81666e-06	3.03924e-05	
24	0.0670062	0.0649878	0.00201849	0	0.29875	0.289751	0.00899955	0	0	0	
25	0.123547	0.115349	0.0081854	1.22875e-05	0.550841	0.514291	0.0364949	5.47846e-05	1.22628e-05	5.46744e-05	
26	0.0851237	0.0841498	0.000973923	0	0.379528	0.375185	0.00434227	0	0	0	
27	0.083638	0.0761148	0.00746278	6.04468e-05	0.372903	0.339361	0.0332731	0.000269504	9.72456e-05	0.000433573	
28	0.0621195	0.0620166	0.000102864	0	0.276962	0.276504	0.000458624	0	0	0	
29	0.104157	0.101115	0.00304126	6.52308e-08	0.464389	0.450829	0.0135596	2.90834e-07	3.15444e-07	1.40642e-06	
30	0.169176	0.148611	0.0204548	0.000110228	0.754282	0.662592	0.0911987	0.000491459	0.000111815	0.000498535	
31	0.140336	0.1382	0.00213575	0	0.625696	0.616173	0.00952237	0	0	0	
32	0.147435	0.138663	0.00875589	1.58036e-05	0.657345	0.618236	0.0390385	7.04613e-05	1.57868e-05	7.03863e-05	
33	0.0791957	0.0765292	0.00265664	9.84369e-06	0.353097	0.341209	0.0118447	4.38885e-05	9.81117e-06	4.37435e-05	
34	0.102196	0.0970052	0.00518859	2.97743e-06	0.455648	0.432502	0.0231335	1.3275e-05	3.18882e-06	1.42175e-05	
35	0.0641928	0.0608711	0.00331867	3.09335e-06	0.286206	0.271396	0.0147964	1.37918e-05	3.8091e-06	1.6983e-05	
36	0.0826421	0.0810362	0.00160593	0	0.368463	0.361303	0.00716011	0	0	0	
37	0.173519	0.0948401	0.078447	0.000232078	0.773643	0.422848	0.349759	0.00103473	0.00029364	0.0013092	
38	0.0788617	0.0782975	0.00056418	0	0.351608	0.349093	0.00251542	0	0	0	
39	0.0892942	0.0837746	0.00550073	1.89081e-05	0.398122	0.373513	0.0245252	8.43026e-05	2.05894e-05	9.17987e-05	
40	0.103861	0.1008	0.00306087	0	0.463071	0.449424	0.013647	0	0	0	
41	0.10011	0.095783	0.00432735	1.15687e-07	0.446347	0.427053	0.0192937	5.15795e-07	1.22749e-07	5.47281e-07	
42	0.0745761	0.0738253	0.000750852	0	0.332501	0.329153	0.0033477	0	0	0	
43	0.0590304	0.0552478	0.00378008	2.54636e-06	0.263189	0.246325	0.0168536	1.1353e-05	3.77099e-06	1.68131e-05	
44	0.065115	0.0645037	0.000611282	0	0.290318	0.287592	0.00272542	0	0	0	
45	0.0574592	0.0520608	0.00539663	1.87037e-06	0.256184	0.232115	0.0240611	8.33915e-06	3.06346e-06	1.36585e-05	
46	0.0935499	0.084996	0.0085539	0	0.417096	0.378958	0.0381379	0	0	0	
47	0.135497	0.134643	0.000854005	0	0.604119	0.600312	0.00380761	0	0	0	
48	0.103	0.0849002	0.0181001	0	0.459231	0.378531	0.0807001	0	0	0	
