Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172309	0.164907	0.00739176	9.97715e-06	0.769692	0.736629	0.0330184	4.45671e-05	9.94955e-06	4.44438e-05	
2	0.0903345	0.0830134	0.00732116	0	0.403517	0.370813	0.032703	0	0	0	
3	0.0913535	0.0813249	0.0100025	2.60986e-05	0.408068	0.363271	0.0446805	0.00011658	2.75749e-05	0.000123175	
4	0.0570906	0.0570906	0	0	0.255019	0.255019	0	0	0	0	
5	0.114234	0.105642	0.00859041	1.67685e-06	0.510274	0.471894	0.0383726	7.49037e-06	3.50499e-06	1.56565e-05	
6	0.0911598	0.0889812	0.0021747	3.86201e-06	0.407203	0.397471	0.00971423	1.72513e-05	3.83445e-06	1.71282e-05	
7	0.0863373	0.0857017	0.0006356	0	0.385661	0.382822	0.00283917	0	0	0	
8	0.121775	0.102418	0.0193566	0	0.543959	0.457494	0.0864647	0	0	0	
9	0.0872046	0.0861285	0.00107434	1.83016e-06	0.389536	0.384729	0.004799	8.17517e-06	1.80265e-06	8.05232e-06	
10	0.0606814	0.0590045	0.00166657	1.03683e-05	0.271058	0.263568	0.00744445	4.63144e-05	1.09491e-05	4.89088e-05	
11	0.0844279	0.0787569	0.00567104	0	0.377132	0.3518	0.025332	0	0	0	
12	0.0960199	0.0940544	0.00196049	4.9364e-06	0.428912	0.420133	0.00875736	2.20505e-05	5.09562e-06	2.27617e-05	
13	0.102616	0.102616	0	0	0.458377	0.458377	0	0	0	0	
14	0.0833611	0.0831075	0.000253601	0	0.372367	0.371234	0.00113281	0	0	0	
15	0.0943219	0.0923921	0.00192982	0	0.421328	0.412708	0.00862035	0	0	0	
16	0.0730252	0.0730252	0	0	0.326197	0.326197	0	0	0	0	
17	0.0868144	0.0841953	0.00261512	4.07397e-06	0.387793	0.376093	0.0116815	1.81981e-05	4.04649e-06	1.80753e-05	
18	0.073104	0.0718998	0.00120426	0	0.326549	0.32117	0.00537934	0	0	0	
19	0.0875072	0.0840091	0.00349613	2.0235e-06	0.390887	0.375261	0.0156169	9.0388e-06	1.996e-06	8.91597e-06	
20	0.0589157	0.0589157	0	0	0.263171	0.263171	0	0	0	0	
