Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172409	0.165003	0.00739606	9.98092e-06	0.769692	0.736629	0.0330184	4.4558e-05	9.95534e-06	4.44438e-05	
2	0.090387	0.0830616	0.00732542	0	0.403517	0.370813	0.032703	0	0	0	
3	0.0914064	0.0813722	0.0100081	2.61118e-05	0.408067	0.363271	0.0446794	0.000116571	2.75909e-05	0.000123175	
4	0.0571238	0.0571238	0	0	0.255019	0.255019	0	0	0	0	
5	0.1143	0.105703	0.00859497	1.67579e-06	0.510272	0.471894	0.0383707	7.48128e-06	3.50703e-06	1.56565e-05	
6	0.0912128	0.089033	0.00217597	3.86222e-06	0.407203	0.397471	0.00971423	1.72422e-05	3.83668e-06	1.71282e-05	
7	0.0863875	0.0857516	0.00063597	0	0.385661	0.382822	0.00283917	0	0	0	
8	0.121845	0.102478	0.0193675	0	0.543957	0.457494	0.0864631	0	0	0	
9	0.0872554	0.0861786	0.00107496	1.82918e-06	0.389536	0.384729	0.004799	8.16608e-06	1.8037e-06	8.05232e-06	
10	0.0607166	0.0590388	0.00166754	1.03723e-05	0.271058	0.263568	0.00744445	4.63053e-05	1.09554e-05	4.89088e-05	
11	0.084477	0.0788027	0.00567434	0	0.377132	0.3518	0.025332	0	0	0	
12	0.0960757	0.0941091	0.00196163	4.93724e-06	0.428912	0.420133	0.00875736	2.20414e-05	5.09858e-06	2.27617e-05	
13	0.102675	0.102675	0	0	0.458377	0.458377	0	0	0	0	
14	0.0834095	0.0831558	0.000253749	0	0.372367	0.371234	0.00113281	0	0	0	
15	0.0943768	0.0924458	0.00193094	0	0.421328	0.412708	0.00862035	0	0	0	
16	0.0730676	0.0730676	0	0	0.326197	0.326197	0	0	0	0	
17	0.0868649	0.0842442	0.00261664	4.07431e-06	0.387793	0.376093	0.0116815	1.8189e-05	4.04885e-06	1.80753e-05	
18	0.0731465	0.0719416	0.00120496	0	0.326549	0.32117	0.00537934	0	0	0	
19	0.0875581	0.0840579	0.00349817	2.02264e-06	0.390887	0.375261	0.0156169	9.02972e-06	1.99716e-06	8.91597e-06	
20	0.05895	0.05895	0	0	0.263171	0.263171	0	0	0	0	
21	0.0844565	0.0815134	0.00293991	3.19742e-06	0.377041	0.363902	0.0131247	1.42743e-05	3.17223e-06	1.41618e-05	
22	0.0893968	0.0873171	0.00207971	0	0.399096	0.389811	0.0092845	0	0	0	
23	0.0982715	0.0946889	0.00357053	1.20765e-05	0.438715	0.422722	0.01594	5.39136e-05	1.20536e-05	5.38113e-05	
24	0.0660734	0.0649037	0.00116969	0	0.294972	0.289751	0.00522188	0	0	0	
25	0.121032	0.1152	0.00581338	1.84113e-05	0.540326	0.514291	0.0259527	8.2194e-05	2.09748e-05	9.36386e-05	
26	0.0855228	0.0840409	0.00148183	0	0.381801	0.375185	0.00661538	0	0	0	
27	0.0839751	0.0760163	0.0078321	0.000126775	0.374892	0.339361	0.034965	0.000565968	0.000130329	0.00058183	
28	0.0619364	0.0619364	0	0	0.276504	0.276504	0	0	0	0	
29	0.106391	0.100985	0.005406	3.16125e-07	0.474965	0.450829	0.0241341	1.41128e-06	4.2803e-07	1.91086e-06	
30	0.168162	0.148419	0.0196539	8.88592e-05	0.75073	0.662592	0.0877414	0.000396696	9.02256e-05	0.000402796	
31	0.142563	0.138021	0.00454185	0	0.63645	0.616173	0.0202762	0	0	0	
32	0.144048	0.138483	0.0055591	5.55356e-06	0.643078	0.618236	0.0248176	2.47928e-05	5.71342e-06	2.55065e-05	
33	0.0779525	0.0764302	0.00152228	0	0.348005	0.341209	0.00679597	0	0	0	
34	0.104807	0.0968796	0.00792758	0	0.467893	0.432502	0.0353912	0	0	0	
35	0.0726727	0.0607924	0.0118144	6.59573e-05	0.324434	0.271396	0.0527433	0.000294454	6.78264e-05	0.000302799	
36	0.081428	0.0809313	0.000496727	0	0.363521	0.361303	0.00221755	0	0	0	
37	0.16998	0.0947173	0.0748026	0.000460693	0.758848	0.422848	0.333942	0.00205668	0.0047534	0.0212207	
38	0.0803188	0.0781962	0.00212251	1.29914e-07	0.358569	0.349093	0.00947558	5.79981e-07	1.07364e-07	4.7931e-07	
39	0.0903362	0.0836662	0.00665073	1.92132e-05	0.403289	0.373513	0.029691	8.57739e-05	1.92559e-05	8.59649e-05	
40	0.102378	0.10067	0.00170823	0	0.45705	0.449424	0.00762613	0	0	0	
41	0.0981867	0.0956591	0.00252758	0	0.438336	0.427053	0.0112839	0	0	0	
42	0.0752766	0.0737298	0.00154685	0	0.336059	0.329153	0.00690565	0	0	0	
43	0.0587344	0.0551763	0.00355803	0	0.262209	0.246325	0.0158842	0	0	0	
44	0.0646867	0.0644202	0.000266484	0	0.288782	0.287592	0.00118967	0	0	0	
45	0.0570715	0.0519934	0.0050781	0	0.254785	0.232115	0.0226702	0	0	0	
46	0.0956092	0.084886	0.0106933	2.98876e-05	0.42683	0.378958	0.0477384	0.000133428	3.31331e-05	0.000147916	
47	0.135772	0.134468	0.00130403	0	0.606133	0.600312	0.00582163	0	0	0	
48	0.107163	0.0847904	0.0222887	8.42026e-05	0.478411	0.378531	0.0995042	0.000375907	0.000146638	0.000654642	
49	0.168098	0.157924	0.0101707	2.95755e-06	0.750443	0.705025	0.0454053	1.32034e-05	6.33745e-06	2.82924e-05	
50	0.102478	0.0950025	0.00745727	1.90025e-05	0.457498	0.424122	0.0332916	8.48332e-05	2.49285e-05	0.000111288	
51	0.0849732	0.0844341	0.000539149	0	0.379347	0.376941	0.00240693	0	0	0	
52	0.080767	0.0760255	0.00473947	2.06711e-06	0.36057	0.339402	0.0211585	9.22828e-06	2.11935e-06	9.46149e-06	
53	0.0972041	0.0947047	0.00249655	2.83768e-06	0.43395	0.422792	0.0111454	1.26683e-05	3.84714e-06	1.71748e-05	
54	0.0942408	0.0905073	0.00373347	0	0.420721	0.404053	0.0166674	0	0	0	
55	0.0985687	0.0925114	0.00604241	1.49056e-05	0.440042	0.413	0.0269752	6.65435e-05	1.52051e-05	6.78805e-05	
56	0.117014	0.111748	0.00526544	8.30002e-07	0.522389	0.498879	0.0235066	3.70539e-06	9.12144e-07	4.0721e-06	
57	0.101571	0.10051	0.00106076	0	0.453448	0.448712	0.00473559	0	0	0	
