Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.17204	0.166379	0.00565556	5.13167e-06	0.761691	0.736629	0.0250394	2.27199e-05	5.10193e-06	2.25882e-05	
2	0.0883924	0.0837543	0.00463783	2.69928e-07	0.391348	0.370813	0.0205335	1.19508e-06	2.40307e-07	1.06393e-06	
3	0.0926796	0.0820508	0.0106282	6.68252e-07	0.410329	0.363271	0.0470553	2.95862e-06	3.01012e-06	1.3327e-05	
4	0.0576002	0.0576002	0	0	0.255019	0.255019	0	0	0	0	
5	0.114933	0.106585	0.00834625	1.87698e-06	0.508855	0.471894	0.0369521	8.31018e-06	4.20834e-06	1.8632e-05	
6	0.0913297	0.0897754	0.00155046	3.821e-06	0.404353	0.397471	0.00686454	1.69171e-05	3.79125e-06	1.67853e-05	
7	0.0899844	0.0864666	0.00351743	2.89462e-07	0.398396	0.382822	0.0155731	1.28156e-06	2.59582e-07	1.14927e-06	
8	0.126077	0.103332	0.0227451	0	0.558196	0.457494	0.100701	0	0	0	
9	0.0905962	0.0868972	0.00369894	0	0.401105	0.384729	0.0163766	0	0	0	
10	0.0603016	0.0595311	0.000770515	0	0.266979	0.263568	0.00341137	0	0	0	
11	0.0849508	0.0794598	0.00548146	9.51706e-06	0.376111	0.3518	0.0242686	4.21358e-05	9.48716e-06	4.20034e-05	
12	0.0994633	0.0948939	0.00456464	4.75503e-06	0.440364	0.420133	0.0202095	2.10524e-05	4.7256e-06	2.09221e-05	
13	0.103531	0.103531	0	0	0.458377	0.458377	0	0	0	0	
14	0.0838523	0.0838492	3.08475e-06	0	0.371247	0.371234	1.36574e-05	0	0	0	
15	0.0973106	0.0932167	0.00408764	6.2745e-06	0.430833	0.412708	0.0180976	2.77797e-05	6.24462e-06	2.76474e-05	
16	0.073677	0.073677	0	0	0.326197	0.326197	0	0	0	0	
17	0.0870095	0.0849467	0.00206275	0	0.385226	0.376093	0.00913264	0	0	0	
18	0.0736614	0.0725415	0.00111736	2.56407e-06	0.326128	0.32117	0.00494703	1.13521e-05	2.53429e-06	1.12203e-05	
19	0.0885716	0.0847589	0.00381272	0	0.392142	0.375261	0.0168804	0	0	0	
20	0.0594416	0.0594416	0	0	0.263171	0.263171	0	0	0	0	
21	0.0857921	0.0821932	0.00357897	1.99868e-05	0.379836	0.363902	0.0158455	8.84897e-05	2.2171e-05	9.81601e-05	
22	0.0899712	0.0880453	0.00192552	4.41601e-07	0.398338	0.389811	0.00852504	1.95514e-06	4.11822e-07	1.8233e-06	
23	0.0985964	0.0954786	0.00310489	1.30064e-05	0.436526	0.422722	0.0137466	5.75849e-05	1.44563e-05	6.40041e-05	
24	0.0671193	0.0654449	0.00167442	0	0.297164	0.289751	0.00741333	0	0	0	
25	0.122037	0.116161	0.00582702	4.89328e-05	0.540307	0.514291	0.0257985	0.000216645	4.89044e-05	0.000216519	
26	0.0861536	0.0847418	0.00141185	0	0.381436	0.375185	0.00625085	0	0	0	
27	0.0821772	0.0766502	0.00550626	2.07906e-05	0.363831	0.339361	0.0243784	9.20487e-05	2.59971e-05	0.000115099	
28	0.0632862	0.0624529	0.000833344	0	0.280193	0.276504	0.00368955	0	0	0	
29	0.107569	0.101827	0.00574206	0	0.476252	0.450829	0.0254224	0	0	0	
30	0.173158	0.149657	0.0233571	0.000144104	0.766641	0.662592	0.103411	0.000638008	0.000233154	0.00103227	
31	0.144655	0.139172	0.0054816	9.98912e-07	0.640447	0.616173	0.0242692	4.42258e-06	9.69269e-07	4.29134e-06	
32	0.143815	0.139638	0.00417713	0	0.63673	0.618236	0.0184938	0	0	0	
33	0.08012	0.0770675	0.00305247	0	0.354723	0.341209	0.0135145	0	0	0	
34	0.107804	0.0976876	0.010099	1.79764e-05	0.477294	0.432502	0.0447125	7.95889e-05	2.12959e-05	9.42858e-05	
35	0.073335	0.0612993	0.0118172	0.000218514	0.324683	0.271396	0.0523195	0.000967451	0.000220811	0.000977619	
36	0.0843742	0.0816062	0.00276799	0	0.373558	0.361303	0.012255	0	0	0	
37	0.175169	0.0955072	0.0788343	0.000828292	0.775546	0.422848	0.349031	0.00366718	0.00606672	0.0268598	
38	0.0798581	0.0788483	0.00100982	0	0.353564	0.349093	0.00447092	0	0	0	
39	0.0908018	0.0843639	0.00643584	2.06078e-06	0.402016	0.373513	0.028494	9.12393e-06	5.76592e-06	2.5528e-05	
40	0.103949	0.101509	0.00243569	4.58453e-06	0.460228	0.449424	0.0107838	2.02975e-05	4.68026e-06	2.07214e-05	
