Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172579	0.165153	0.00742581	2.71587e-08	0.769751	0.736629	0.0331211	1.21135e-07	8.14949e-09	3.6349e-08	
2	0.0909451	0.0831369	0.00780164	6.58055e-06	0.40564	0.370813	0.0347975	2.93511e-05	6.56169e-06	2.9267e-05	
3	0.0928675	0.0814459	0.0114181	3.48812e-06	0.414215	0.363271	0.0509281	1.5558e-05	4.60936e-06	2.0559e-05	
4	0.0571755	0.0571755	0	0	0.255019	0.255019	0	0	0	0	
5	0.112673	0.105799	0.00687397	5.56378e-07	0.502556	0.471894	0.0306598	2.4816e-06	8.67012e-07	3.86712e-06	
6	0.0902056	0.0891136	0.00109179	2.08748e-07	0.402342	0.397471	0.0048697	9.31077e-07	1.89681e-07	8.46032e-07	
7	0.0866686	0.0858292	0.000838456	9.62941e-07	0.386566	0.382822	0.00373975	4.29499e-06	9.56904e-07	4.26806e-06	
8	0.123566	0.10257	0.020996	0	0.551142	0.457494	0.0936481	0	0	0	
9	0.0882949	0.0862566	0.00203826	0	0.39382	0.384729	0.00909122	0	0	0	
10	0.0614365	0.0590922	0.00233664	7.6339e-06	0.274024	0.263568	0.0104221	3.40493e-05	8.22406e-06	3.66816e-05	
11	0.085214	0.0788741	0.00633999	0	0.380078	0.3518	0.0282781	0	0	0	
12	0.0971723	0.0941944	0.0029772	7.01955e-07	0.433415	0.420133	0.0132791	3.13091e-06	6.82961e-07	3.0462e-06	
13	0.102768	0.102768	0	0	0.458377	0.458377	0	0	0	0	
14	0.0832311	0.0832311	0	0	0.371234	0.371234	0	0	0	0	
15	0.0940472	0.0925296	0.00151599	1.66728e-06	0.419477	0.412708	0.00676177	7.43658e-06	1.6482e-06	7.35147e-06	
16	0.0731338	0.0731338	0	0	0.326197	0.326197	0	0	0	0	
17	0.0863591	0.0843205	0.00203858	0	0.385186	0.376093	0.00909266	0	0	0	
18	0.0739772	0.0720067	0.0019705	0	0.329959	0.32117	0.00878899	0	0	0	
19	0.0870729	0.0841341	0.00293884	0	0.388369	0.375261	0.013108	0	0	0	
20	0.059149	0.0590034	0.000145565	0	0.263821	0.263171	0.000649265	0	0	0	
21	0.0861139	0.0815873	0.00452659	0	0.384092	0.363902	0.0201898	0	0	0	
22	0.0899968	0.0873962	0.00259438	6.17273e-06	0.401411	0.389811	0.0115716	2.75321e-05	6.15366e-06	2.7447e-05	
23	0.100201	0.0947747	0.00541725	9.96997e-06	0.446928	0.422722	0.0241624	4.44688e-05	1.09138e-05	4.86786e-05	
24	0.0649625	0.0649625	0	0	0.289751	0.289751	0	0	0	0	
25	0.120962	0.115304	0.0056519	6.08414e-06	0.539528	0.514291	0.0252091	2.71369e-05	6.1365e-06	2.73705e-05	
26	0.085823	0.084117	0.00170595	0	0.382794	0.375185	0.00760901	0	0	0	
27	0.0868851	0.0760851	0.0105632	0.000236744	0.387532	0.339361	0.0471151	0.00105594	0.000240314	0.00107187	
28	0.0619925	0.0619925	0	0	0.276504	0.276504	0	0	0	0	
29	0.108844	0.101076	0.00776827	0	0.485478	0.450829	0.0346486	0	0	0	
30	0.170603	0.148553	0.0219168	0.000132745	0.760939	0.662592	0.0977552	0.000592084	0.000133412	0.000595058	
31	0.145323	0.138146	0.00717596	9.17761e-07	0.648184	0.616173	0.0320068	4.09347e-06	8.99004e-07	4.00981e-06	
32	0.144066	0.138609	0.00545611	8.10797e-07	0.642575	0.618236	0.0243357	3.61638e-06	7.91869e-07	3.53196e-06	
33	0.0785812	0.0764994	0.00208179	0	0.350494	0.341209	0.0092854	0	0	0	
34	0.104662	0.0969674	0.00769386	1.44677e-06	0.466825	0.432502	0.0343167	6.453e-06	4.23143e-06	1.88733e-05	
35	0.0734565	0.0608474	0.012609	0	0.327636	0.271396	0.0562401	0	0	0	
36	0.0842248	0.0810046	0.00322012	0	0.375666	0.361303	0.0143626	0	0	0	
37	0.170617	0.0948031	0.0747127	0.00110146	0.761001	0.422848	0.333239	0.00491282	0.00591169	0.0263678	
38	0.0793325	0.078267	0.00106532	1.24375e-07	0.353845	0.349093	0.00475165	5.54751e-07	1.42731e-07	6.36623e-07	
39	0.0892608	0.083742	0.00551517	3.6036e-06	0.398128	0.373513	0.0245992	1.6073e-05	3.83183e-06	1.7091e-05	
40	0.102943	0.100761	0.00218065	1.29403e-06	0.459156	0.449424	0.00972635	5.77173e-06	1.28142e-06	5.71551e-06	
41	0.100431	0.0957457	0.00468586	0	0.447953	0.427053	0.0209002	0	0	0	
42	0.0746078	0.0737966	0.000811286	0	0.332772	0.329153	0.00361856	0	0	0	
43	0.0603541	0.0552263	0.00512776	0	0.269196	0.246325	0.0228712	0	0	0	
44	0.065469	0.0644786	0.000990447	0	0.29201	0.287592	0.00441767	0	0	0	
45	0.0580987	0.0520405	0.00605334	4.86554e-06	0.259136	0.232115	0.0269996	2.17016e-05	7.76639e-06	3.46403e-05	
46	0.0933752	0.0849629	0.0084113	1.00943e-06	0.41648	0.378958	0.0375167	4.50237e-06	1.41458e-06	6.30942e-06	
47	0.1358	0.13459	0.00121005	0	0.605709	0.600312	0.00539717	0	0	0	
48	0.105741	0.0848672	0.0208742	0	0.471636	0.378531	0.0931049	0	0	0	
49	0.169819	0.158067	0.0117404	1.19606e-05	0.757444	0.705025	0.0523656	5.3348e-05	1.83328e-05	8.17694e-05	
50	0.102091	0.0950886	0.00699706	5.87337e-06	0.455357	0.424122	0.0312088	2.61968e-05	1.40007e-05	6.24473e-05	
51	0.0845144	0.0845106	3.86139e-06	0	0.376958	0.376941	1.72229e-05	0	0	0	
52	0.0786799	0.0760944	0.00258553	0	0.350934	0.339402	0.0115322	0	0	0	
53	0.0973215	0.0947905	0.00252301	8.04664e-06	0.434081	0.422792	0.0112533	3.58902e-05	8.43822e-06	3.76368e-05	
54	0.0934276	0.0905893	0.00283812	1.68914e-07	0.416713	0.404053	0.0126588	7.53406e-07	1.50943e-07	6.73249e-07	
55	0.0978945	0.0925952	0.00529925	0	0.436637	0.413	0.0236361	0	0	0	
56	0.120871	0.111849	0.0090222	0	0.539121	0.498879	0.0402415	0	0	0	
57	0.102355	0.100601	0.00175259	4.76834e-07	0.456532	0.448712	0.00781708	2.12681e-06	4.5809e-07	2.04321e-06	
58	0.122021	0.0911925	0.0308202	9.14828e-06	0.544251	0.406744	0.137466	4.08039e-05	2.47077e-05	0.000110203	
59	0.173511	0.111896	0.061582	3.39264e-05	0.773912	0.499087	0.274673	0.000151321	9.13482e-05	0.000407438	
60	0.0747658	0.0735034	0.00126243	0	0.333476	0.327845	0.00563082	0	0	0	
61	0.0872435	0.0870222	0.000221233	4.64967e-08	0.38913	0.388143	0.000986764	2.07388e-07	2.76225e-08	1.23204e-07	
62	0.100458	0.0932958	0.00715344	9.34454e-06	0.448073	0.416125	0.0319063	4.16792e-05	1.1754e-05	5.24262e-05	
63	0.12313	0.0937798	0.0293358	1.49856e-05	0.549196	0.418284	0.130845	6.684e-05	4.27425e-05	0.000190643	
64	0.0986373	0.0966812	0.00195362	2.51286e-06	0.43995	0.431225	0.0087137	1.1208e-05	2.4938e-06	1.1123e-05	
65	0.112024	0.102423	0.00957812	2.242e-05	0.499658	0.456837	0.0427211	9.99995e-05	2.69275e-05	0.000120104	
66	0.112983	0.100778	0.0122051	0	0.503939	0.449501	0.0544384	0	0	0	
