Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.170231	0.16662	0.00361112	0	0.752594	0.736629	0.0159647	0	0	0	
2	0.0859908	0.0838756	0.00211513	0	0.380164	0.370813	0.009351	0	0	0	
3	0.0942305	0.0821697	0.0120608	0	0.416592	0.363271	0.0533208	0	0	0	
4	0.0576836	0.0576836	0	0	0.255019	0.255019	0	0	0	0	
5	0.113024	0.106739	0.00628417	8.38599e-07	0.49968	0.471894	0.0277822	3.70744e-06	8.3893e-07	3.7089e-06	
6	0.0916605	0.0899055	0.00174954	5.49387e-06	0.40523	0.397471	0.00773472	2.42883e-05	5.47428e-06	2.42017e-05	
7	0.0887495	0.0865919	0.00215754	0	0.392361	0.382822	0.00953848	0	0	0	
8	0.123254	0.103482	0.0197725	0	0.544909	0.457494	0.0874142	0	0	0	
9	0.0882862	0.0870231	0.0012603	2.75057e-06	0.390312	0.384729	0.00557181	1.21602e-05	3.78131e-06	1.67171e-05	
10	0.0618341	0.0596174	0.00220747	9.25973e-06	0.273368	0.263568	0.00975924	4.09372e-05	1.2407e-05	5.48515e-05	
11	0.0831511	0.079575	0.00357616	0	0.36761	0.3518	0.0158101	0	0	0	
12	0.0964802	0.0950314	0.00144838	4.21259e-07	0.426538	0.420133	0.00640329	1.86238e-06	4.01666e-07	1.77576e-06	
13	0.103681	0.103681	0	0	0.458377	0.458377	0	0	0	0	
14	0.0839746	0.0839707	3.85795e-06	0	0.371251	0.371234	1.70559e-05	0	0	0	
15	0.0950895	0.0933518	0.0017377	0	0.42039	0.412708	0.00768238	0	0	0	
16	0.0737837	0.0737837	0	0	0.326197	0.326197	0	0	0	0	
17	0.0894978	0.0850698	0.00440381	2.41584e-05	0.395669	0.376093	0.0194692	0.000106804	2.41389e-05	0.000106718	
18	0.0737368	0.0726466	0.00108624	4.0034e-06	0.32599	0.32117	0.00480228	1.7699e-05	3.98377e-06	1.76122e-05	
19	0.0909392	0.0848817	0.00603278	2.46991e-05	0.402041	0.375261	0.0266708	0.000109194	2.46797e-05	0.000109109	
20	0.0595277	0.0595277	0	0	0.263171	0.263171	0	0	0	0	
21	0.0853027	0.0823123	0.00299045	0	0.377123	0.363902	0.0132207	0	0	0	
22	0.0891271	0.0881729	0.000954216	0	0.39403	0.389811	0.00421858	0	0	0	
23	0.0981608	0.0956169	0.00253969	4.18497e-06	0.433968	0.422722	0.0112279	1.85017e-05	4.27628e-06	1.89054e-05	
24	0.0686044	0.0655397	0.00306461	0	0.303299	0.289751	0.0135486	0	0	0	
25	0.126644	0.116329	0.0101588	0.000156347	0.559895	0.514291	0.0449121	0.000691209	0.000156327	0.000691123	
26	0.0856884	0.0848645	0.000823837	0	0.378828	0.375185	0.00364218	0	0	0	
27	0.0862559	0.0767613	0.00933168	0.000162995	0.381337	0.339361	0.0412553	0.000720601	0.000166472	0.000735975	
28	0.0625434	0.0625434	0	0	0.276504	0.276504	0	0	0	0	
29	0.104301	0.101974	0.00232706	0	0.461117	0.450829	0.0102879	0	0	0	
30	0.174941	0.149874	0.0249356	0.00013144	0.773413	0.662592	0.11024	0.000581097	0.000133018	0.000588075	
31	0.141654	0.139374	0.00227982	0	0.626252	0.616173	0.010079	0	0	0	
32	0.147235	0.139841	0.00739398	0	0.650925	0.618236	0.0326887	0	0	0	
33	0.0781546	0.0771792	0.0009754	0	0.345521	0.341209	0.00431223	0	0	0	
34	0.108648	0.0978291	0.0107851	3.44362e-05	0.480335	0.432502	0.0476808	0.000152242	3.44588e-05	0.000152342	
35	0.0680121	0.0613881	0.0065316	9.23252e-05	0.300681	0.271396	0.0288761	0.000408169	9.30914e-05	0.000411556	
36	0.0835798	0.0817245	0.00185528	0	0.369505	0.361303	0.00820219	0	0	0	
37	0.16855	0.0956456	0.0728984	6.47985e-06	0.74516	0.422848	0.322283	2.86473e-05	4.24643e-05	0.000187734	
38	0.0803009	0.0789626	0.00133833	0	0.35501	0.349093	0.00591678	0	0	0	
39	0.090502	0.0844862	0.00601587	0	0.400109	0.373513	0.0265961	0	0	0	
40	0.102734	0.101656	0.00107733	4.24432e-07	0.454188	0.449424	0.0047629	1.87641e-06	4.0477e-07	1.78948e-06	
41	0.100595	0.0965966	0.00399898	1.3279e-07	0.444732	0.427053	0.0176794	5.87064e-07	1.29142e-07	5.70936e-07	
42	0.075442	0.0744523	0.000989155	5.17082e-07	0.333528	0.329153	0.00437304	2.28601e-06	7.20442e-07	3.18507e-06	
43	0.0584957	0.0557171	0.00277857	0	0.258609	0.246325	0.012284	0	0	0	
44	0.0663644	0.0650515	0.00131285	0	0.293396	0.287592	0.00580413	0	0	0	
45	0.054936	0.052503	0.00243301	0	0.242871	0.232115	0.0107563	0	0	0	
46	0.093735	0.085718	0.00799016	2.6941e-05	0.414402	0.378958	0.0353244	0.000119106	3.01518e-05	0.000133301	
47	0.137975	0.135786	0.0021888	0	0.609988	0.600312	0.00967669	0	0	0	
48	0.110493	0.0856213	0.0248718	0	0.488489	0.378531	0.109958	0	0	0	
49	0.166191	0.159472	0.00671896	0	0.734729	0.705025	0.0297045	0	0	0	
50	0.0979625	0.0959336	0.00202033	8.59711e-06	0.433091	0.424122	0.00893187	3.80077e-05	8.5775e-06	3.7921e-05	
51	0.085734	0.0852616	0.000472446	0	0.379029	0.376941	0.00208868	0	0	0	
52	0.0781415	0.0767706	0.00137093	0	0.345463	0.339402	0.0060609	0	0	0	
53	0.0976919	0.0956328	0.00205819	9.12446e-07	0.431895	0.422792	0.00909928	4.03391e-06	8.92846e-07	3.94726e-06	
54	0.0928526	0.0913943	0.00145673	1.53699e-06	0.4105	0.404053	0.0064402	6.79503e-06	3.19442e-06	1.41225e-05	
55	0.100978	0.0934181	0.00752674	3.36264e-05	0.446425	0.413	0.0332757	0.000148662	4.17987e-05	0.000184792	
