Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.173113	0.165106	0.00800615	1.24308e-07	0.77235	0.736629	0.0357197	5.54608e-07	1.12043e-07	4.99883e-07	
2	0.0918932	0.0831135	0.00874308	3.66316e-05	0.409984	0.370813	0.0390075	0.000163433	3.66079e-05	0.000163327	
3	0.0926254	0.081423	0.0112008	1.52197e-06	0.413251	0.363271	0.0499729	6.79033e-06	3.17972e-06	1.41864e-05	
4	0.0571595	0.0571595	0	0	0.255019	0.255019	0	0	0	0	
5	0.114527	0.105769	0.00875686	1.29099e-06	0.510969	0.471894	0.039069	5.75983e-06	2.40696e-06	1.07387e-05	
6	0.091117	0.0890886	0.00201925	9.21659e-06	0.406521	0.397471	0.00900896	4.11201e-05	9.23995e-06	4.12243e-05	
7	0.0864443	0.0858051	0.000639169	0	0.385674	0.382822	0.00285167	0	0	0	
8	0.12121	0.102542	0.0186688	0	0.540786	0.457494	0.0832917	0	0	0	
9	0.0884403	0.0862324	0.00220782	6.80517e-08	0.394579	0.384729	0.00985027	3.03615e-07	1.71016e-07	7.62994e-07	
10	0.0602021	0.0590756	0.00112337	3.09411e-06	0.268593	0.263568	0.00501196	1.38044e-05	3.17476e-06	1.41643e-05	
11	0.0844322	0.0788519	0.00558032	0	0.376697	0.3518	0.0248967	0	0	0	
12	0.0972764	0.0941679	0.00310089	7.60107e-06	0.434002	0.420133	0.0138347	3.39124e-05	8.13911e-06	3.63129e-05	
13	0.102739	0.102739	0	0	0.458377	0.458377	0	0	0	0	
14	0.0834658	0.0832077	0.000258101	0	0.372385	0.371234	0.00115152	0	0	0	
15	0.0942925	0.0925036	0.00178608	2.82517e-06	0.420689	0.412708	0.00796869	1.26046e-05	2.80146e-06	1.24988e-05	
16	0.0731133	0.0731133	0	0	0.326197	0.326197	0	0	0	0	
17	0.0866755	0.0842968	0.00237867	0	0.386705	0.376093	0.0106125	0	0	0	
18	0.0732873	0.0719865	0.00129526	5.53706e-06	0.326973	0.32117	0.00577888	2.47038e-05	5.5136e-06	2.45991e-05	
19	0.0867707	0.0841104	0.00266026	0	0.38713	0.375261	0.0118688	0	0	0	
20	0.0589868	0.0589868	0	0	0.263171	0.263171	0	0	0	0	
21	0.0835002	0.0815644	0.00193201	3.87088e-06	0.372539	0.363902	0.00861977	1.727e-05	5.61933e-06	2.50708e-05	
22	0.0894171	0.0873717	0.00204438	1.04813e-06	0.398937	0.389811	0.00912109	4.6763e-06	1.02441e-06	4.57044e-06	
23	0.0986463	0.0947481	0.00387193	2.63084e-05	0.440114	0.422722	0.0172747	0.000117376	2.64854e-05	0.000118165	
24	0.067769	0.0649442	0.0028248	0	0.302353	0.289751	0.0126029	0	0	0	
25	0.124056	0.115272	0.00868175	0.00010219	0.553481	0.514291	0.0387339	0.000455926	0.000102367	0.000456715	
26	0.0856932	0.0840934	0.00159974	0	0.382323	0.375185	0.00713729	0	0	0	
27	0.083462	0.0760638	0.00728433	0.000113941	0.372368	0.339361	0.0324992	0.000508355	0.00012336	0.000550376	
28	0.0662055	0.0619751	0.00423043	0	0.295378	0.276504	0.0188742	0	0	0	
29	0.107436	0.101048	0.00638804	6.81743e-07	0.479333	0.450829	0.0285004	3.04161e-06	1.26885e-06	5.66104e-06	
30	0.168547	0.148512	0.0199356	9.96215e-05	0.751979	0.662592	0.0889433	0.000444464	0.000105879	0.000472386	
31	0.143981	0.138108	0.00587247	1.35557e-06	0.64238	0.616173	0.0262002	6.04793e-06	1.33176e-06	5.94171e-06	
32	0.144602	0.13857	0.00603144	4.92546e-07	0.645148	0.618236	0.0269094	2.19751e-06	4.70167e-07	2.09766e-06	
