,res,comid,sum_conn_strength,sum_weighted_lengths,weighted_conn_length_com
0,5e-07,0.0,592.6735752184024,2419228.4177332656,4081.8901312442867
1,5e-07,1.0,106.37470698093585,797510.0201215624,7497.17712749601
2,5e-07,2.0,316.10120663304014,1110208.219039503,3512.192284442421
3,5e-07,3.0,245.77822362098593,1049777.5227444635,4271.238953876253
4,5e-07,4.0,27.23242823253263,68747.29526480407,2524.464387743308
5,5e-07,5.0,2.0546778721086425,12681.74750896258,6172.134173006767
6,5e-07,6.0,4.655831909512893,2894.3711109668543,621.6657231660394
7,5e-07,7.0,1.349603174603175,1021.2837511973348,756.7289188524796
8,5e-07,8.0,1.3809523809523827,1033.0668820250698,748.0829145698772
9,5e-07,9.0,1.035257936507936,598.4781536686176,578.0956924487483
10,5e-07,10.0,1.0360119047619112,1017.4202464385588,982.0545900699616
11,5e-07,11.0,1.518174603174604,1899.248317221592,1251.007830884628
12,5e-07,12.0,0.08333333333333401,154.8232041740551,1857.878450088646
13,5e-07,13.0,0.011819727891154999,11.015214553624453,931.9346989254648
14,5e-07,14.0,0.8452380952380951,850.9190404457072,1006.7211182737946
15,5e-07,15.0,0.23809523809524,153.01990205343242,642.6835886244111
16,5e-07,16.0,0.03248299319728,116.40614983621704,3583.6029373661427
17,5e-07,17.0,2.8391723356009146,3366.822785165799,1185.8465732948212
18,5e-07,18.0,0.36904761904761996,146.14919648130157,396.01717756223553
19,5e-07,19.0,0.019642857142856997,24.405479980038685,1242.4607989837968
20,5e-07,20.0,0.175744047619048,447.7814889032296,2547.918378856644
21,5e-07,21.0,0.026190476190476004,28.992670097680275,1106.9928582750729
22,5e-07,22.0,0.032738095238094,50.20170671990718,1533.4339507172228
23,5e-07,23.0,0.023809523809524,166.17824543969112,6979.486308466971
24,5e-07,24.0,0.021428571428571998,76.01885502186637,3547.546567687003
25,5e-07,26.0,0.000865800865801,4.201155013754421,4852.334040885604
26,5e-07,27.0,0.00952380952381,52.43548305819015,5505.72572110969
27,5e-07,29.0,0.00297619047619,22.616130185797655,7599.019742429228
28,5e-07,31.0,0.001984126984127,4.1281055659800545,2080.565205253931
29,5e-07,32.0,0.011904761904762,40.733098267588495,3421.5802544774065
30,1e-06,0.0,585.0715712587566,2412352.4284050893,4123.174918950541
31,1e-06,1.0,327.0482607096179,1143592.8487568046,3496.7097708316096
32,1e-06,2.0,104.97470519124907,787583.2503055979,7502.6002585168735
33,1e-06,3.0,234.58295227897648,1014432.8595704514,4324.409978283686
34,1e-06,4.0,24.63118942504381,66122.64856502226,2684.5089542363685
35,1e-06,5.0,2.0630894833284725,12820.51488093569,6214.231124988235
36,1e-06,6.0,27.223929555283956,68679.56766507044,2522.764670162771
37,1e-06,7.0,5.610576499118169,3125.6298666129287,557.0960251774828
38,1e-06,8.0,2.8907534528963184,3380.537091491661,1169.4311350228143
39,1e-06,9.0,4.655831909512893,2894.3711109668543,621.6657231660394
40,1e-06,10.0,1.349603174603175,1021.2837511973348,756.7289188524796
41,1e-06,11.0,1.3809523809523827,1033.0668820250698,748.0829145698772
42,1e-06,12.0,1.035257936507936,598.4781536686176,578.0956924487483
43,1e-06,13.0,2.8391723356009146,3366.822785165799,1185.8465732948212
44,1e-06,14.0,1.518174603174604,1899.248317221592,1251.007830884628
45,1e-06,15.0,0.08333333333333401,154.8232041740551,1857.878450088646
46,1e-06,16.0,0.011819727891154999,11.015214553624453,931.9346989254648
47,1e-06,17.0,0.175744047619048,447.7814889032296,2547.918378856644
48,1e-06,18.0,0.86031746031746,701.4011002952724,815.2817217454276
49,1e-06,19.0,0.8452380952380951,850.9190404457072,1006.7211182737946
50,1e-06,20.0,1.4462089748180067,5792.386165126641,4005.2207294976606
51,1e-06,21.0,0.03248299319728,116.40614983621704,3583.6029373661427
52,1e-06,22.0,0.032738095238094,50.20170671990718,1533.4339507172228
53,1e-06,23.0,0.85625,1061.782320542047,1240.037746618449
54,1e-06,24.0,0.36904761904761996,146.14919648130157,396.01717756223553
55,1e-06,25.0,0.019642857142856997,24.405479980038685,1242.4607989837968
56,1e-06,26.0,0.016190476190477,61.9381308999714,3825.590437939218
57,1e-06,27.0,0.023809523809524,166.17824543969112,6979.486308466971
58,1e-06,28.0,0.021428571428571998,76.01885502186637,3547.546567687003
59,1e-06,29.0,0.004761904761905,10.849848503609493,2278.46818575788
60,1e-06,31.0,0.000865800865801,4.201155013754421,4852.334040885604
61,1e-06,32.0,0.00952380952381,52.43548305819015,5505.72572110969
62,1e-06,35.0,0.00297619047619,22.616130185797655,7599.019742429228
63,1e-06,37.0,0.001984126984127,4.1281055659800545,2080.565205253931
64,1e-06,38.0,0.011904761904762,40.733098267588495,3421.5802544774065
65,7e-06,0.0,95.48987446239735,744054.811983789,7791.97602020922
66,7e-06,1.0,299.10493075244307,1001555.7323234444,3348.5096009747535
67,7e-06,2.0,213.16813297868225,709940.9255960191,3330.427093748653
68,7e-06,3.0,181.2955308814889,775354.7977980459,4276.745234855721
69,7e-06,4.0,92.13040544732281,232139.71112407555,2519.686199110515
70,7e-06,5.0,166.3478183479816,817503.7829219771,4914.4244333391125
71,7e-06,6.0,146.53503250405353,521698.35058132384,3560.2295346465517
72,7e-06,7.0,137.37851549568538,738000.8485671893,5372.02521008729
73,7e-06,8.0,24.881189425043814,66360.7224491766,2667.1041048536904
74,7e-06,9.0,129.95051455037125,720115.2944039464,5541.457814888576
75,7e-06,10.0,64.29535507867878,154132.11800074036,2397.251213748296
76,7e-06,11.0,9.366645880126464,40159.62142066573,4287.5135811287355
