Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172465	0.166412	0.00605286	0	0.763423	0.736629	0.0267931	0	0	0	
2	0.0885959	0.0837708	0.00482512	0	0.392172	0.370813	0.0213585	0	0	0	
3	0.0936586	0.0820669	0.0115916	0	0.414582	0.363271	0.0513108	0	0	0	
4	0.0576115	0.0576115	0	0	0.255019	0.255019	0	0	0	0	
5	0.114464	0.106606	0.00785287	5.41244e-06	0.506679	0.471894	0.0347609	2.39583e-05	6.55132e-06	2.89996e-05	
6	0.0913238	0.0897931	0.00152831	2.30013e-06	0.404247	0.397471	0.00676512	1.01816e-05	2.31752e-06	1.02585e-05	
7	0.0874181	0.0864837	0.000934346	0	0.386958	0.382822	0.00413591	0	0	0	
8	0.122753	0.103352	0.0194007	0	0.543372	0.457494	0.085878	0	0	0	
9	0.0905997	0.0869144	0.00368531	0	0.401042	0.384729	0.0163131	0	0	0	
10	0.0602176	0.0595428	0.000674739	0	0.266554	0.263568	0.00298675	0	0	0	
11	0.084597	0.0794755	0.00512148	0	0.374471	0.3518	0.0226703	0	0	0	
12	0.098382	0.0949126	0.0034639	5.42877e-06	0.43549	0.420133	0.015333	2.40306e-05	5.51115e-06	2.43952e-05	
13	0.103552	0.103552	0	0	0.458377	0.458377	0	0	0	0	
14	0.0838688	0.0838658	3.0825e-06	0	0.371247	0.371234	1.36447e-05	0	0	0	
15	0.0948164	0.0932351	0.00158129	0	0.419707	0.412708	0.00699963	0	0	0	
16	0.0736915	0.0736915	0	0	0.326197	0.326197	0	0	0	0	
17	0.0880295	0.0849635	0.00306441	1.5826e-06	0.389665	0.376093	0.0135647	7.00545e-06	1.60001e-06	7.08251e-06	
18	0.0728633	0.0725558	0.000307444	0	0.322531	0.32117	0.0013609	0	0	0	
19	0.0881749	0.0847756	0.00339934	0	0.390308	0.375261	0.0150472	0	0	0	
20	0.0594964	0.0594533	4.30522e-05	0	0.263362	0.263171	0.000190571	0	0	0	
21	0.0840869	0.0822094	0.00187752	0	0.372213	0.363902	0.00831091	0	0	0	
22	0.0891818	0.0880626	0.00111772	1.44336e-06	0.394766	0.389811	0.00494764	6.38909e-06	2.06971e-06	9.16166e-06	
23	0.0975826	0.0954974	0.00208286	2.27599e-06	0.431952	0.422722	0.00921985	1.00747e-05	2.29339e-06	1.01517e-05	
24	0.0665475	0.0654578	0.00108969	0	0.294574	0.289751	0.00482355	0	0	0	
25	0.125993	0.116184	0.00964662	0.000162591	0.557712	0.514291	0.042701	0.000719717	0.000162869	0.000720945	
26	0.0855411	0.0847585	0.000781829	8.24464e-07	0.37865	0.375185	0.00346078	3.64951e-06	8.4188e-07	3.7266e-06	
27	0.0846448	0.0766653	0.0078209	0.000158545	0.374682	0.339361	0.0346194	0.000701806	0.000158575	0.000701938	
28	0.0645942	0.0624652	0.00212898	0	0.285928	0.276504	0.009424	0	0	0	
29	0.106691	0.101847	0.00484426	2.79394e-07	0.472274	0.450829	0.0214432	1.23674e-06	2.96779e-07	1.3137e-06	
30	0.170431	0.149686	0.0206666	7.83989e-05	0.75442	0.662592	0.0914813	0.000347035	8.19731e-05	0.000362856	
31	0.143817	0.1392	0.00461593	1.03648e-06	0.636611	0.616173	0.0204325	4.58802e-06	1.05388e-06	4.66506e-06	
32	0.145998	0.139666	0.00633171	1.31314e-08	0.646264	0.618236	0.0280274	5.81268e-08	4.07228e-07	1.8026e-06	
33	0.0789501	0.0770827	0.00186737	0	0.349475	0.341209	0.00826596	0	0	0	
34	0.104175	0.0977068	0.00646891	0	0.461136	0.432502	0.0286348	0	0	0	
35	0.0750994	0.0613114	0.0137631	2.47851e-05	0.332429	0.271396	0.060923	0.000109712	3.36712e-05	0.000149046	
36	0.0832899	0.0816223	0.0016676	0	0.368685	0.361303	0.00738167	0	0	0	
37	0.168635	0.0955261	0.0702701	0.00283892	0.746468	0.422848	0.311052	0.0125665	0.00497158	0.0220068	
38	0.0797669	0.0788639	0.000902995	0	0.35309	0.349093	0.00399713	0	0	0	
39	0.0915165	0.0843806	0.00707896	5.69632e-05	0.4051	0.373513	0.0313352	0.000252149	5.82364e-05	0.000257785	
40	0.101844	0.101529	0.000314673	0	0.450817	0.449424	0.00139291	0	0	0	
41	0.0987578	0.0964758	0.00228161	3.76151e-07	0.437154	0.427053	0.0100996	1.66504e-06	4.9383e-07	2.18595e-06	
42	0.0766737	0.0743593	0.00231443	0	0.339398	0.329153	0.0102449	0	0	0	
43	0.0598551	0.0556474	0.00420763	0	0.26495	0.246325	0.0186252	0	0	0	
44	0.0651724	0.0649702	0.000202125	0	0.288487	0.287592	0.000894713	0	0	0	
45	0.0553875	0.0524373	0.00294544	4.69028e-06	0.245174	0.232115	0.013038	2.07616e-05	6.33874e-06	2.80586e-05	
46	0.0930816	0.0856108	0.00747076	0	0.412028	0.378958	0.0330695	0	2.35304e-08	1.04158e-07	
47	0.137085	0.135616	0.00146826	0	0.606811	0.600312	0.00649933	0	0	0	
48	0.107469	0.0855143	0.0219532	1.94627e-06	0.475717	0.378531	0.0971768	8.61524e-06	1.17815e-05	5.21512e-05	
49	0.167337	0.159272	0.00805948	5.56756e-06	0.740725	0.705025	0.0356755	2.46449e-05	1.14517e-05	5.06916e-05	
50	0.0996258	0.0958137	0.00381183	3.09635e-07	0.440996	0.424122	0.0168731	1.3706e-06	7.64291e-07	3.38315e-06	
51	0.0852971	0.085155	0.000142086	0	0.37757	0.376941	0.000628948	0	0	0	
52	0.0773343	0.0766746	0.000659696	0	0.342322	0.339402	0.00292016	0	0	0	
53	0.0969849	0.0955133	0.00146744	4.10542e-06	0.429306	0.422792	0.00649569	1.81727e-05	4.13617e-06	1.83088e-05	
54	0.0937529	0.0912801	0.00247284	0	0.415	0.404053	0.0109461	0	0	0	
55	0.100726	0.0933013	0.00742511	1.93943e-07	0.445869	0.413	0.0328674	8.58494e-07	4.43931e-06	1.96507e-05	
56	0.120248	0.112702	0.0075407	5.27704e-06	0.532282	0.498879	0.0333791	2.33589e-05	6.13136e-06	2.71406e-05	
57	0.101796	0.101369	0.000426979	0	0.450603	0.448712	0.00189003	0	0	0	
58	0.121219	0.0918879	0.0292534	7.76134e-05	0.536579	0.406744	0.129491	0.000343557	9.77073e-05	0.000432504	
59	0.169544	0.112749	0.0567951	2.69078e-07	0.750494	0.499087	0.251405	1.19108e-06	4.08363e-07	1.80763e-06	
60	0.0773882	0.0740639	0.00331694	7.38684e-06	0.342561	0.327845	0.0146825	3.2698e-05	7.80305e-06	3.45404e-05	
61	0.089035	0.0876858	0.00134915	0	0.394115	0.388143	0.00597209	0	0	0	
62	0.102913	0.0940072	0.00889329	1.31924e-05	0.45555	0.416125	0.0393664	5.83968e-05	1.96369e-05	8.69235e-05	
63	0.120844	0.0944949	0.0263215	2.81917e-05	0.534922	0.418284	0.116512	0.000124791	4.19853e-05	0.000185849	
