Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172976	0.164976	0.00799984	1.23964e-07	0.77235	0.736629	0.0357197	5.53506e-07	1.11973e-07	4.99969e-07	
2	0.0918208	0.083048	0.00873619	3.66025e-05	0.409984	0.370813	0.0390075	0.000163432	3.6579e-05	0.000163327	
3	0.0925524	0.0813588	0.011192	1.5205e-06	0.413251	0.363271	0.0499731	6.78914e-06	3.17721e-06	1.41864e-05	
4	0.0571144	0.0571144	0	0	0.255019	0.255019	0	0	0	0	
5	0.114523	0.105686	0.00883626	1.38326e-06	0.511355	0.471894	0.0394543	6.17633e-06	2.63169e-06	1.17506e-05	
6	0.0910452	0.0890184	0.00201766	9.20906e-06	0.406521	0.397471	0.00900896	4.11189e-05	9.23266e-06	4.12243e-05	
7	0.0863762	0.0857375	0.000638665	0	0.385674	0.382822	0.00285167	0	0	0	
8	0.121115	0.102461	0.0186541	0	0.540786	0.457494	0.0832917	0	0	0	
9	0.0883706	0.0861644	0.00220608	6.77321e-08	0.394579	0.384729	0.00985027	3.02427e-07	1.70881e-07	7.62994e-07	
10	0.0601546	0.0590291	0.00112248	3.0914e-06	0.268593	0.263568	0.00501196	1.38032e-05	3.17225e-06	1.41643e-05	
11	0.0843657	0.0787898	0.00557592	0	0.376697	0.3518	0.0248967	0	0	0	
12	0.0971997	0.0940937	0.00309845	7.59481e-06	0.434002	0.420133	0.0138347	3.39112e-05	8.13269e-06	3.63129e-05	
13	0.102658	0.102658	0	0	0.458377	0.458377	0	0	0	0	
14	0.0834	0.0831421	0.000257897	0	0.372385	0.371234	0.00115152	0	0	0	
15	0.0942181	0.0924307	0.00178468	2.82268e-06	0.420689	0.412708	0.00796869	1.26034e-05	2.79925e-06	1.24988e-05	
16	0.0730557	0.0730557	0	0	0.326197	0.326197	0	0	0	0	
17	0.0866072	0.0842304	0.00237679	0	0.386705	0.376093	0.0106125	0	0	0	
18	0.0732295	0.0719298	0.00129425	5.53238e-06	0.326973	0.32117	0.0057789	2.47024e-05	5.5091e-06	2.45984e-05	
19	0.0867023	0.0840441	0.00265816	0	0.38713	0.375261	0.0118688	0	0	0	
