Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.172847	0.165422	0.0074148	1.0001e-05	0.769692	0.736629	0.0330182	4.4535e-05	9.97881e-06	4.44357e-05	
2	0.0906166	0.0832726	0.00734402	0	0.403517	0.370813	0.032703	0	0	0	
3	0.0916285	0.0815788	0.0100235	2.61724e-05	0.408023	0.363271	0.0446349	0.000116546	2.76587e-05	0.000123164	
4	0.0572689	0.0572689	0	0	0.255019	0.255019	0	0	0	0	
5	0.112942	0.105972	0.00696926	1.32084e-06	0.502934	0.471894	0.0310342	5.88175e-06	2.80016e-06	1.24691e-05	
6	0.0914287	0.0892591	0.00216445	5.15209e-06	0.407133	0.397471	0.00963833	2.29423e-05	5.12986e-06	2.28433e-05	
7	0.0866069	0.0859693	0.000637585	0	0.385661	0.382822	0.00283917	0	0	0	
8	0.122064	0.102738	0.0193267	0	0.543556	0.457494	0.086062	0	0	0	
9	0.0874767	0.0863974	0.00107743	1.83047e-06	0.389534	0.384729	0.00479782	8.15111e-06	1.80828e-06	8.05231e-06	
10	0.0608708	0.0591887	0.00167177	1.03953e-05	0.271058	0.263568	0.00744445	4.62904e-05	1.09833e-05	4.89088e-05	
11	0.0846915	0.0790028	0.00568875	0	0.377132	0.3518	0.025332	0	0	0	
12	0.0960132	0.0943481	0.00166158	3.51464e-06	0.427548	0.420133	0.00739904	1.56507e-05	3.67975e-06	1.63859e-05	
13	0.102936	0.102936	0	0	0.458377	0.458377	0	0	0	0	
14	0.0836213	0.083367	0.000254393	0	0.372367	0.371234	0.00113281	0	0	0	
15	0.0945857	0.0926806	0.00190511	0	0.421191	0.412708	0.00848348	0	0	0	
16	0.0732532	0.0732532	0	0	0.326197	0.326197	0	0	0	0	
17	0.0866824	0.0844582	0.00222105	3.26183e-06	0.385998	0.376093	0.00989039	1.4525e-05	3.23969e-06	1.44263e-05	
18	0.0733316	0.0721243	0.00120731	0	0.326546	0.32117	0.0053762	0	0	0	
19	0.0873162	0.0842714	0.00304334	1.52385e-06	0.38882	0.375261	0.013552	6.78574e-06	1.50167e-06	6.68697e-06	
20	0.0590997	0.0590997	0	0	0.263171	0.263171	0	0	0	0	
21	0.0840918	0.0817205	0.00237132	0	0.374461	0.363902	0.0105595	0	0	0	
22	0.0889967	0.0875389	0.00145532	2.56217e-06	0.396303	0.389811	0.00648056	1.14093e-05	2.54002e-06	1.13107e-05	
23	0.0982024	0.0949294	0.00326089	1.21215e-05	0.437296	0.422722	0.0145208	5.39773e-05	1.20994e-05	5.3879e-05	
24	0.0650685	0.0650685	0	0	0.289751	0.289751	0	0	0	0	
25	0.121285	0.115493	0.00577484	1.76817e-05	0.540086	0.514291	0.0257154	7.87372e-05	2.02266e-05	9.00694e-05	
26	0.0854317	0.0842543	0.00117734	0	0.380428	0.375185	0.00524272	0	0	0	
27	0.0841799	0.0762093	0.00784011	0.000130429	0.374854	0.339361	0.0349121	0.000580802	0.000134645	0.000599576	
28	0.0620937	0.0620937	0	0	0.276504	0.276504	0	0	0	0	
29	0.10554	0.101241	0.00429813	4.34016e-07	0.469971	0.450829	0.0191396	1.93267e-06	4.29117e-07	1.91086e-06	
30	0.168334	0.148796	0.0194548	8.29059e-05	0.749593	0.662592	0.0866326	0.000369181	8.39275e-05	0.00037373	
31	0.142357	0.138372	0.00398519	0	0.63392	0.616173	0.0177461	0	0	0	
32	0.144395	0.138835	0.00555519	5.14253e-06	0.642996	0.618236	0.0247373	2.28997e-05	5.30379e-06	2.36178e-05	
33	0.0781067	0.0766243	0.00148241	0	0.34781	0.341209	0.00660123	0	0	0	
34	0.104975	0.0971257	0.00784802	1.93143e-06	0.467457	0.432502	0.0349473	8.60072e-06	1.0874e-05	4.84224e-05	
35	0.0725153	0.0609467	0.0115025	6.60761e-05	0.322911	0.271396	0.0512208	0.000294237	6.79485e-05	0.000302575	
36	0.0816348	0.0811369	0.000497953	0	0.363521	0.361303	0.00221739	0	0	0	
37	0.170261	0.0949579	0.074847	0.000456998	0.758178	0.422848	0.333294	0.00203501	0.00475885	0.0211912	
38	0.0804837	0.0783948	0.00208886	0	0.358394	0.349093	0.00930176	0	0	0	
39	0.0904816	0.0838787	0.00658389	1.89944e-05	0.402915	0.373513	0.0293181	8.45825e-05	1.8972e-05	8.44829e-05	
40	0.102511	0.100925	0.00158604	0	0.456486	0.449424	0.00706268	0	0	0	
41	0.0981325	0.095902	0.0022305	5.10363e-08	0.436985	0.427053	0.00993248	2.27265e-07	4.23343e-08	1.88515e-07	
42	0.0754606	0.073917	0.00154327	3.64592e-07	0.336027	0.329153	0.00687222	1.62353e-06	1.19844e-06	5.33667e-06	
43	0.0588009	0.0553165	0.00348446	0	0.261841	0.246325	0.0155163	0	0	0	
44	0.064851	0.0645838	0.000267161	0	0.288782	0.287592	0.00118967	0	0	0	
45	0.0572164	0.0521255	0.00509093	0	0.254785	0.232115	0.02267	0	0	0	
46	0.0956117	0.0851016	0.0104809	2.91559e-05	0.42576	0.378958	0.0466717	0.000129831	3.23705e-05	0.000144146	
47	0.135966	0.13481	0.00115595	0	0.605459	0.600312	0.00514748	0	0	0	
48	0.10744	0.0850057	0.022344	9.11062e-05	0.478435	0.378531	0.0994984	0.000405697	0.000147011	0.000654642	
49	0.168492	0.158325	0.0101646	2.67297e-06	0.7503	0.705025	0.0452632	1.19027e-05	6.06475e-06	2.70064e-05	
50	0.0984952	0.0952438	0.00324952	1.8418e-06	0.4386	0.424122	0.0144701	8.20156e-06	1.82375e-06	8.12121e-06	
51	0.0846485	0.0846485	0	0	0.376941	0.376941	0	0	0	0	
52	0.0800598	0.0762186	0.00383954	1.7175e-06	0.356507	0.339402	0.0170975	7.64806e-06	1.69545e-06	7.54989e-06	
53	0.0966191	0.0949452	0.00167249	1.4448e-06	0.430246	0.422792	0.00744766	6.43375e-06	1.43426e-06	6.3868e-06	
54	0.0926291	0.0907372	0.00189194	0	0.412478	0.404053	0.00842485	0	0	0	
55	0.0986476	0.0927464	0.00588607	1.51735e-05	0.439279	0.413	0.0262107	6.75678e-05	1.54536e-05	6.88152e-05	
56	0.117179	0.112031	0.00514748	4.8245e-08	0.521801	0.498879	0.0229218	2.14835e-07	4.33345e-07	1.92969e-06	
57	0.10136	0.100766	0.000594433	0	0.451359	0.448712	0.00264701	0	0	0	
58	0.120675	0.0913414	0.0292913	4.23449e-05	0.537367	0.406744	0.130434	0.000188562	0.000164313	0.000731688	
59	0.174464	0.112078	0.0622452	0.00014069	0.776893	0.499087	0.277178	0.000626498	0.000159264	0.000709207	
60	0.0750282	0.0736234	0.0014013	3.52703e-06	0.334101	0.327845	0.00624001	1.57059e-05	3.50487e-06	1.56072e-05	
