Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	dBC_PC	varBC_PC	
1	0.171805	0.164921	0.00688408	2.17572e-07	0.767378	0.736629	0.0307481	9.71798e-07	1.51604e-07	6.77147e-07	
2	0.0903137	0.0830201	0.00727477	1.89062e-05	0.403391	0.370813	0.0324932	8.44458e-05	1.88404e-05	8.41517e-05	
3	0.0998332	0.0813315	0.0184703	3.14212e-05	0.44591	0.363271	0.0824989	0.000140344	6.74561e-05	0.000301296	
4	0.0570952	0.0570952	0	0	0.255019	0.255019	0	0	0	0	
5	0.111798	0.10565	0.00614524	3.01629e-06	0.499355	0.471894	0.027448	1.34724e-05	3.70951e-06	1.65687e-05	
6	0.0902656	0.0889884	0.00127697	2.88431e-07	0.403176	0.397471	0.0057037	1.28829e-06	2.22328e-07	9.9304e-07	
7	0.0867684	0.0857087	0.00105974	0	0.387556	0.382822	0.0047334	0	0	0	
8	0.122992	0.102426	0.0205654	0	0.549351	0.457494	0.0918567	0	0	0	
9	0.0868099	0.0861355	0.000673944	5.73202e-07	0.387741	0.384729	0.00301021	2.56024e-06	5.07164e-07	2.26527e-06	
10	0.0596651	0.0590092	0.000655844	0	0.266497	0.263568	0.00292936	0	0	0	
11	0.0850152	0.0787633	0.00625194	0	0.379725	0.3518	0.0279246	0	0	0	
12	0.0948565	0.0940621	0.000792933	1.57362e-06	0.423682	0.420133	0.00354168	7.02868e-06	1.5076e-06	6.73378e-06	
13	0.102624	0.102624	0	0	0.458377	0.458377	0	0	0	0	
14	0.0831142	0.0831142	0	0	0.371234	0.371234	0	0	0	0	
15	0.0946463	0.0923996	0.00224488	1.94342e-06	0.422743	0.412708	0.0100268	8.68043e-06	1.87731e-06	8.38515e-06	
16	0.0730311	0.0730311	0	0	0.326197	0.326197	0	0	0	0	
17	0.0863885	0.0842021	0.00218642	0	0.385859	0.376093	0.0097658	0	0	0	
18	0.0728078	0.0719056	0.000899442	2.83918e-06	0.3252	0.32117	0.0040174	1.26813e-05	2.77723e-06	1.24046e-05	
19	0.0873842	0.0840159	0.00336617	2.2457e-06	0.390306	0.375261	0.0150352	1.00305e-05	2.17975e-06	9.73601e-06	
20	0.0589205	0.0589205	0	0	0.263171	0.263171	0	0	0	0	
21	0.0834934	0.0814727	0.00201971	1.09883e-06	0.372928	0.363902	0.00902118	4.90802e-06	1.49185e-06	6.66345e-06	
22	0.0887641	0.0872735	0.00149065	0	0.396469	0.389811	0.00665808	0	0	0	
23	0.0976449	0.0946416	0.00299484	8.51707e-06	0.436136	0.422722	0.0133766	3.80419e-05	8.86994e-06	3.9618e-05	
24	0.065811	0.0648712	0.000939796	0	0.293948	0.289751	0.00419765	0	0	0	
25	0.122373	0.115142	0.00721573	1.47215e-05	0.546586	0.514291	0.0322294	6.57548e-05	1.50698e-05	6.73101e-05	
26	0.0857404	0.0839989	0.00173892	2.64504e-06	0.382964	0.375185	0.00776699	1.18142e-05	3.21978e-06	1.43813e-05	
27	0.0791271	0.0759783	0.00313349	1.5434e-05	0.353425	0.339361	0.0139959	6.89372e-05	1.58288e-05	7.07002e-05	
28	0.0619054	0.0619054	0	0	0.276504	0.276504	0	0	0	0	
29	0.103757	0.100934	0.00282283	0	0.463438	0.450829	0.0126083	0	0	0	
30	0.168775	0.148345	0.0203867	4.32218e-05	0.753843	0.662592	0.0910585	0.000193052	4.41328e-05	0.000197121	
31	0.140206	0.137952	0.0022536	0	0.626239	0.616173	0.0100658	0	0	0	
32	0.144964	0.138414	0.00654894	4.701e-07	0.647489	0.618236	0.0292512	2.09972e-06	4.42344e-07	1.97575e-06	
33	0.078516	0.076392	0.00212407	0	0.350696	0.341209	0.00948728	0	0	0	
34	0.102559	0.0968312	0.00571811	9.89202e-06	0.458086	0.432502	0.0255402	4.41832e-05	1.18779e-05	5.30533e-05	
35	0.0660718	0.0607619	0.00528484	2.50689e-05	0.295113	0.271396	0.023605	0.000111971	2.64381e-05	0.000118087	
36	0.0809431	0.0808908	5.22989e-05	0	0.361537	0.361303	0.000233596	0	0	0	
37	0.17879	0.09467	0.0811199	0.00300066	0.798578	0.422848	0.362326	0.0134026	0.00746098	0.0333248	
38	0.0802731	0.0781571	0.00211596	1.39269e-07	0.358544	0.349093	0.00945105	6.22053e-07	7.49869e-08	3.34933e-07	
39	0.0920899	0.0836244	0.0084639	1.67649e-06	0.411324	0.373513	0.0378044	7.48816e-06	2.55061e-06	1.13924e-05	
40	0.10194	0.100619	0.00131933	1.42036e-06	0.455323	0.449424	0.00589287	6.34413e-06	1.3637e-06	6.09105e-06	
41	0.0991739	0.0956112	0.00354392	1.88406e-05	0.442966	0.427053	0.0158291	8.41529e-05	1.87747e-05	8.38582e-05	
42	0.0748499	0.0736929	0.00115697	0	0.334321	0.329153	0.00516771	0	0	0	
43	0.0581013	0.0551487	0.00293436	1.82206e-05	0.259512	0.246325	0.0131065	8.13833e-05	1.81546e-05	8.10888e-05	
44	0.0646835	0.064388	0.000295514	0	0.288912	0.287592	0.00131993	0	0	0	
45	0.0536744	0.0519674	0.0017018	5.23632e-06	0.239739	0.232115	0.00760118	2.33883e-05	7.75548e-06	3.46403e-05	
46	0.0936467	0.0848436	0.00880312	0	0.418278	0.378958	0.0393196	0	0	0	
47	0.135055	0.134401	0.000653646	0	0.603231	0.600312	0.00291954	0	0	0	
48	0.0991595	0.0847479	0.0144023	9.28487e-06	0.442901	0.378531	0.064329	4.14714e-05	1.49959e-05	6.69801e-05	
49	0.166354	0.157845	0.0085093	0	0.743032	0.705025	0.0380072	0	0	0	
50	0.101649	0.094955	0.00668922	5.19047e-06	0.454022	0.424122	0.0298777	2.31835e-05	5.94744e-06	2.65646e-05	
51	0.0843918	0.0843918	0	0	0.376941	0.376941	0	0	0	0	
52	0.078636	0.0759875	0.00264852	0	0.351232	0.339402	0.0118297	0	0	0	
53	0.0963098	0.0946573	0.0016506	1.91216e-06	0.430173	0.422792	0.0073725	8.54079e-06	2.01826e-06	9.01471e-06	
54	0.0926097	0.090462	0.00214198	5.76477e-06	0.413646	0.404053	0.0095673	2.57487e-05	5.7e-06	2.54593e-05	
55	0.0995769	0.0924652	0.00711008	1.76552e-06	0.444766	0.413	0.0317576	7.8858e-06	3.95842e-06	1.76805e-05	
56	0.11884	0.111692	0.00714796	2.72756e-07	0.530807	0.498879	0.0319267	1.21828e-06	2.19794e-07	9.81723e-07	
57	0.101807	0.10046	0.00134584	7.72154e-07	0.454727	0.448712	0.00601127	3.44887e-06	7.06469e-07	3.15548e-06	
58	0.119506	0.0910644	0.0283558	8.67213e-05	0.533784	0.406744	0.126652	0.000387345	9.09153e-05	0.000406078	
59	0.18174	0.111738	0.0699909	1.04032e-05	0.811752	0.499087	0.312618	4.64666e-05	1.07224e-05	4.78923e-05	
60	0.0757579	0.0734001	0.00235773	0	0.338376	0.327845	0.0105309	0	0	0	
61	0.0879211	0.0869	0.00102111	0	0.392704	0.388143	0.00456086	0	0	0	
62	0.101546	0.0931647	0.00837223	1.00095e-05	0.453564	0.416125	0.037395	4.47082e-05	1.05516e-05	4.71293e-05	
63	0.125494	0.093648	0.0317601	8.61577e-05	0.560527	0.418284	0.141858	0.000384828	0.000118656	0.000529984	
64	0.09801	0.0965454	0.00146458	0	0.437767	0.431225	0.00654166	0	0	0	
65	0.107456	0.102279	0.00517593	5.51699e-07	0.479958	0.456837	0.0231186	2.46419e-06	7.9437e-07	3.5481e-06	
66	0.112611	0.100637	0.0119743	0	0.502985	0.449501	0.053484	0	0	0	
67	0.166064	0.136941	0.0290837	4.00266e-05	0.741737	0.611654	0.129904	0.000178781	5.51818e-05	0.000246472	
